Access Type,City,County,Date Opened,Date Updated,Day Confirmation,Day Opening,Day Updated,Ev Connector Types,Ev Network,Ev Pricing,Facility Type,Geocode Status,Last Confirmed Date,Month Confirmation,Month Opening,Month Updated,Renewable Source On Site,Restricted Access,Station Name,Street Address,Year Confirmation,Year Opening,Year Updated,Zip (Final Processed Dataset - Final Processed Dataset.Csv),Dc Fast Count,F1,Latitude,Level1 Count,Level2 Count,Longitude,Number of Vehicles
public,Long Beach,Los Angeles,5/4/2012,2021-03-11 23:22:17+00:00,14,4,11,J1772,Non-Networked,Free,HOTEL,GPS,1/14/2021,1,5,3,unknown,FALSE,Hyatt Regency Long Beach,200 S Pine Ave,2021,2012,2021,90802,0,0,33.7637,0,1,-118.192,2
public,San Fernando,Lake,4/1/2019,2022-10-21 02:17:08+00:00,21,1,21,J1772,EV Connect,unknown,unknown,GPS,10/21/2022,10,4,10,unknown,unknown,Sylmar Station,Village Way Dr,2022,2019,2022,91342,0,1,34.293717,0,4,-118.449219,7
public,Arcadia,Riverside,6/1/2014,2022-08-10 13:32:10+00:00,10,1,10,J1772,POWERFLEX,$0.30 per kWh; $0.45 per kWh from 4pm-9pm,MUNI_GOV,GPS,8/10/2022,8,6,8,unknown,FALSE,Los Angeles County - Arboretum,301 N Baldwin Ave,2022,2014,2022,91007,0,2,34.145528,0,3,-118.050548,22
public,Los Angeles,Orange,4/25/2017,2022-08-10 13:32:10+00:00,10,25,10,J1772,Non-Networked,$1 per hour for first two hours; $3 per hour thereafter,PARKING_GARAGE,200-9,8/10/2022,8,4,8,unknown,FALSE,Helms Bakery Building,8800 Venice Blvd,2022,2017,2022,90034,0,3,34.029971,0,6,-118.385231,95
public,Los Angeles,Monterey,4/25/2017,2022-08-10 13:32:10+00:00,10,25,10,J1772,Non-Networked,$1 per hour for first two hours; $3 per hour thereafter,PARKING_GARAGE,200-9,8/10/2022,8,4,8,unknown,FALSE,Helms Bakery Building,8800 Venice Blvd,2022,2017,2022,90034,0,4,34.029971,0,6,-118.385231,1
public,Ukiah,Los Angeles,5/15/2011,2022-02-10 19:42:29+00:00,12,15,10,J1772,Non-Networked,$10 per session,HOTEL,GPS,10/12/2021,10,5,2,unknown,TRUE,Super 8 - Ukiah,693 S Orchard Ave,2021,2011,2022,95482,0,5,39.1458,0,1,-123.198497,15
public,Cathedral City,Riverside,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,CHADEMO J1772,Non-Networked,Free,CAR_DEALER,GPS,6/9/2020,6,3,3,unknown,FALSE,Palm Springs Nissan,68177 Kyle Rd,2020,2011,2021,92234,1,6,33.78414,0,1,-116.471,2
public,Cerritos,San Bernardino,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Cerritos Nissan,18707 Studebaker Rd,2022,2011,2022,90703,1,7,33.861544,0,1,-118.100471,1
public,Cerritos,Ventura,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,2/10/2022,2,3,2,unknown,FALSE,Cerritos Nissan,18707 Studebaker Rd,2022,2011,2022,90703,1,8,33.861544,0,1,-118.100471,1
public,Clovis,Yolo,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,GPS,6/9/2020,6,3,3,unknown,FALSE,Lithia Nissan - Clovis,370 W Herndon Ave,2020,2011,2021,93612,0,9,36.836818,0,1,-119.717629,4
public,Concord,Santa Clara,3/15/2011,2021-03-11 23:22:17+00:00,9,15,11,J1772,Non-Networked,Free,CAR_DEALER,200-8,6/9/2020,6,3,3,unknown,FALSE,Autocom Nissan - Concord,1290 Concord Ave,2020,2011,2021,94520,0,10,37.980192,0,1,-122.050128,16
public,Costa Mesa,San Diego,3/15/2011,2022-06-14 16:24:51+00:00,14,15,14,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,200-9,6/14/2022,6,3,6,unknown,FALSE,Orange Coast Nissan,2850 Harbor Blvd,2022,2011,2022,92626,1,11,33.675397,0,2,-117.918684,1
public,Folsom,Los Angeles,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Folsom,12610 Auto Mall Cir,2022,2011,2022,95630,1,12,38.634132,0,3,-121.204871,1
public,Folsom,Placer,3/15/2011,2022-02-10 19:42:29+00:00,10,15,10,CHADEMO J1772 J1772COMBO,Non-Networked,Free,CAR_DEALER,GPS,2/10/2022,2,3,2,unknown,FALSE,Future Nissan of Folsom,12610 Auto Mall Cir,2022,2011,2022,95630,1,13,38.634132,0,3,-121.204871,2
